Qseqid	Sseqid	Pident	Length	Mismatch	Gapopen	Qstart	Qend	Sstart	Send	Evalue	Bitscore
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2525768;End=2526469;Strand=-	Seqid=LMGT_4071_3;Start=80337;End=81038;Strand=+	97.863	702	15	0	1	702	1	702	0	1214
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2523929;End=2525755;Strand=-	Seqid=LMGT_4071_3;Start=81051;End=82877;Strand=+	97.592	1827	44	0	1	1827	1	1827	0	3131
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2522608;End=2523939;Strand=-	Seqid=LMGT_4071_3;Start=82867;End=84198;Strand=+	97.372	1332	35	0	1	1332	1	1332	0	2266
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2521816;End=2522607;Strand=-	Seqid=LMGT_4071_3;Start=84199;End=84990;Strand=+	97.222	792	22	0	1	792	1	792	0	1341
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2520334;End=2521134;Strand=-	Seqid=LMGT_4071_3;Start=85258;End=86058;Strand=+	98.002	801	16	0	1	801	1	801	0	1391
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2519451;End=2519930;Strand=-	Seqid=LMGT_4071_3;Start=86463;End=86942;Strand=+	93.724	478	30	0	1	478	1	478	0	717
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2498622;End=2499305;Strand=-	Seqid=LMGT_4071_3;Start=96738;End=97421;Strand=+	99.708	684	2	0	1	684	1	684	0	1253
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2496553;End=2496918;Strand=-	Seqid=LMGT_4071_3;Start=99125;End=99490;Strand=+	99.727	366	1	0	1	366	1	366	0	671
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2495398;End=2496015;Strand=-	Seqid=LMGT_4071_3;Start=100026;End=100643;Strand=+	99.353	618	4	0	1	618	1	618	0	1120
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2472232;End=2472780;Strand=-	Seqid=LMGT_4071_3;Start=103386;End=103934;Strand=+	98.907	549	6	0	1	549	1	549	0	981
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2472068;End=2472235;Strand=-	Seqid=LMGT_4071_3;Start=103931;End=104098;Strand=+	98.214	168	3	0	1	168	1	168	5.59e-81	294
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2470990;End=2471877;Strand=-	Seqid=LMGT_4071_3;Start=104289;End=105176;Strand=+	99.437	888	5	0	1	888	1	888	0	1613
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2467920;End=2468903;Strand=-	Seqid=LMGT_4071_3;Start=107428;End=108411;Strand=+	99.797	984	2	0	1	984	1	984	0	1807
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2465919;End=2467370;Strand=-	Seqid=LMGT_4071_3;Start=108960;End=110387;Strand=+	93.113	1452	76	3	1	1452	1	1428	0	2106
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2464758;End=2465051;Strand=-	Seqid=LMGT_4071_3;Start=111217;End=111342;Strand=+	94.4	125	7	0	1	125	1	125	3.85e-50	193
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2461966;End=2463018;Strand=-	Seqid=LMGT_4071_3;Start=113249;End=114301;Strand=+	94.112	1053	62	0	1	1053	1	1053	0	1602
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2461336;End=2461542;Strand=-	Seqid=LMGT_4071_3;Start=114724;End=116640;Strand=+	92.462	199	15	0	1	199	1	199	4.22e-78	285
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2460199;End=2461320;Strand=-	Seqid=LMGT_4071_3;Start=114724;End=116640;Strand=+	94.906	1119	57	0	1	1119	223	1341	0	1751
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2459851;End=2460144;Strand=-	Seqid=LMGT_4071_3;Start=114724;End=116640;Strand=+	97.938	291	6	0	1	291	1399	1689	4.36e-144	505
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2459626;End=2459787;Strand=-	Seqid=LMGT_4071_3;Start=114724;End=116640;Strand=+	96.914	162	5	0	1	162	1756	1917	2.51e-74	272
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2458614;End=2459435;Strand=-	Seqid=LMGT_4071_3;Start=116831;End=117652;Strand=+	97.567	822	20	0	1	822	1	822	0	1408
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2457923;End=2458627;Strand=-	Seqid=LMGT_4071_3;Start=117639;End=118343;Strand=+	98.723	705	9	0	1	705	1	705	0	1253
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2457413;End=2457871;Strand=-	Seqid=LMGT_4071_3;Start=118395;End=118853;Strand=+	91.304	460	38	2	1	459	1	459	1.42e-180	627
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2455789;End=2456850;Strand=-	Seqid=LMGT_4071_3;Start=119612;End=120679;Strand=+	96.536	1068	31	1	1	1062	1	1068	0	1762
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2453879;End=2455774;Strand=-	Seqid=LMGT_4071_3;Start=120694;End=122589;Strand=+	96.017	1883	75	0	1	1883	1	1883	0	3062
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2448070;End=2449152;Strand=-	Seqid=LMGT_4071_3;Start=125550;End=126749;Strand=+	98.43	1083	17	0	1	1083	118	1200	0	1906
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2446484;End=2447845;Strand=-	Seqid=LMGT_4071_3;Start=126974;End=128335;Strand=+	97.43	1362	35	0	1	1362	1	1362	0	2322
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2445493;End=2446185;Strand=-	Seqid=LMGT_4071_3;Start=128691;End=129383;Strand=+	98.557	693	10	0	1	693	1	693	0	1225
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2443943;End=2445496;Strand=-	Seqid=LMGT_4071_3;Start=129380;End=130933;Strand=+	97.104	1554	45	0	1	1554	1	1554	0	2621
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2442987;End=2443940;Strand=-	Seqid=LMGT_4071_3;Start=130936;End=131892;Strand=+	98.642	957	10	1	1	954	1	957	0	1692
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2442220;End=2442987;Strand=-	Seqid=LMGT_4071_3;Start=131892;End=132659;Strand=+	97.266	768	21	0	1	768	1	768	0	1303
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2441486;End=2442253;Strand=-	Seqid=LMGT_4071_3;Start=132626;End=133393;Strand=+	98.438	768	12	0	1	768	1	768	0	1352
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2440858;End=2441493;Strand=-	Seqid=LMGT_4071_3;Start=133386;End=134021;Strand=+	96.855	636	20	0	1	636	1	636	0	1064
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2439627;End=2440799;Strand=-	Seqid=LMGT_4071_3;Start=134080;End=135252;Strand=+	96.164	1173	45	0	1	1173	1	1173	0	1917
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2439248;End=2439472;Strand=-	Seqid=LMGT_4071_3;Start=135407;End=135631;Strand=+	98.667	225	3	0	1	225	1	225	1.58e-112	399
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2437945;End=2438676;Strand=-	Seqid=LMGT_4071_3;Start=135741;End=136601;Strand=+	95.604	728	32	0	1	728	130	857	0	1168
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2437334;End=2437765;Strand=-	Seqid=LMGT_4071_3;Start=138628;End=139059;Strand=+	96.852	413	13	0	20	432	20	432	0	691
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2436160;End=2437176;Strand=-	Seqid=LMGT_4071_3;Start=139217;End=140233;Strand=+	96.264	1017	38	0	1	1017	1	1017	0	1668
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2432484;End=2433533;Strand=-	Seqid=LMGT_4071_3;Start=141408;End=142457;Strand=+	97.238	1050	29	0	1	1050	1	1050	0	1779
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2431809;End=2432471;Strand=-	Seqid=LMGT_4071_3;Start=142470;End=143132;Strand=+	95.023	663	33	0	1	663	1	663	0	1042
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2429315;End=2429938;Strand=-	Seqid=LMGT_4071_3;Start=144970;End=145593;Strand=+	99.84	624	1	0	1	624	1	624	0	1147
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2428412;End=2429089;Strand=-	Seqid=LMGT_4071_3;Start=145927;End=146286;Strand=+	94.865	370	7	1	106	475	1	358	1.31e-162	568
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2427837;End=2428373;Strand=-	Seqid=LMGT_4071_3;Start=146529;End=147065;Strand=+	98.51	537	8	0	1	537	1	537	0	948
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2423258;End=2424121;Strand=-	Seqid=LMGT_4071_3;Start=150751;End=151614;Strand=+	97.917	864	18	0	1	864	1	864	0	1496
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2421856;End=2423187;Strand=-	Seqid=LMGT_4071_3;Start=151685;End=153031;Strand=+	94.745	1351	48	8	1	1332	1	1347	0	2080
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2419454;End=2420503;Strand=-	Seqid=LMGT_4071_3;Start=154469;End=155437;Strand=+	96.894	966	30	0	79	1044	1	966	0	1618
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2418576;End=2419457;Strand=-	Seqid=LMGT_4071_3;Start=155437;End=156318;Strand=+	97.279	882	24	0	1	882	1	882	0	1496
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2418194;End=2418583;Strand=-	Seqid=LMGT_4071_3;Start=156311;End=156700;Strand=+	97.949	390	8	0	1	390	1	390	0	676
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2416685;End=2418181;Strand=-	Seqid=LMGT_4071_3;Start=156713;End=158209;Strand=+	97.061	1497	44	0	1	1497	1	1497	0	2521
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2416369;End=2416704;Strand=-	Seqid=LMGT_4071_3;Start=158190;End=159128;Strand=+	97.626	337	7	1	1	336	1	337	1.05e-165	577
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2415767;End=2416354;Strand=-	Seqid=LMGT_4071_3;Start=158190;End=159128;Strand=+	98.299	588	10	0	1	588	352	939	0	1031
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2414830;End=2415747;Strand=-	Seqid=LMGT_4071_3;Start=159148;End=160065;Strand=+	94.336	918	52	0	1	918	1	918	0	1408
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2412840;End=2413658;Strand=-	Seqid=LMGT_4071_3;Start=161237;End=162055;Strand=+	97.192	819	23	0	1	819	1	819	0	1386
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2411996;End=2412847;Strand=-	Seqid=LMGT_4071_3;Start=162048;End=162899;Strand=+	98.122	852	16	0	1	852	1	852	0	1485
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2411606;End=2411989;Strand=-	Seqid=LMGT_4071_3;Start=162906;End=163289;Strand=+	97.917	384	8	0	1	384	1	384	0	665
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2411293;End=2411433;Strand=-	Seqid=LMGT_4071_3;Start=163502;End=164365;Strand=+	94.898	98	5	0	40	137	1	98	8.11e-39	154
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2410751;End=2411218;Strand=-	Seqid=LMGT_4071_3;Start=163502;End=164365;Strand=+	91.398	465	40	0	1	465	178	642	0	638
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2408786;End=2409637;Strand=-	Seqid=LMGT_4071_3;Start=165260;End=165607;Strand=+	97.872	282	6	0	1	282	1	282	1.33e-138	488
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2403408;End=2404274;Strand=-	Seqid=LMGT_4071_3;Start=165661;End=166527;Strand=+	97.578	867	21	0	1	867	1	867	0	1485
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2402719;End=2403270;Strand=-	Seqid=LMGT_4071_3;Start=166664;End=167215;Strand=+	94.022	552	33	0	1	552	1	552	0	837
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2398974;End=2399378;Strand=-	Seqid=LMGT_4071_3;Start=170556;End=170960;Strand=+	98.272	405	7	0	1	405	1	405	0	710
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2397465;End=2398757;Strand=-	Seqid=LMGT_4071_3;Start=171178;End=172470;Strand=+	98.067	1293	25	0	1	1293	1	1293	0	2250
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2395411;End=2396805;Strand=-	Seqid=LMGT_4071_3;Start=173131;End=174525;Strand=+	98.566	1395	20	0	1	1395	1	1395	0	2466
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2394194;End=2394721;Strand=-	Seqid=LMGT_4071_10;Start=145;End=672;Strand=+	99.621	528	2	0	1	528	1	528	0	965
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2393898;End=2394059;Strand=-	Seqid=LMGT_4071_10;Start=807;End=968;Strand=+	98.765	162	2	0	1	162	1	162	2.5e-79	289
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2393244;End=2393729;Strand=-	Seqid=LMGT_4071_10;Start=1023;End=1841;Strand=+	97.536	487	11	1	1	486	115	601	0	832
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2391236;End=2392846;Strand=-	Seqid=LMGT_4071_10;Start=2022;End=3632;Strand=+	98.014	1611	32	0	1	1611	1	1611	0	2798
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2389923;End=2391236;Strand=-	Seqid=LMGT_4071_10;Start=3632;End=4945;Strand=+	99.696	1314	4	0	1	1314	1	1314	0	2405
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2389126;End=2389908;Strand=-	Seqid=LMGT_4071_10;Start=4960;End=5742;Strand=+	99.745	783	2	0	1	783	1	783	0	1435
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2387193;End=2388896;Strand=-	Seqid=LMGT_4071_10;Start=5972;End=7675;Strand=+	99.707	1704	5	0	1	1704	1	1704	0	3120
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2383389;End=2384771;Strand=-	Seqid=LMGT_4071_10;Start=10447;End=11478;Strand=+	99.806	1032	2	0	352	1383	1	1032	0	1895
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2383389;End=2384771;Strand=-	Seqid=LMGT_4071_10;Start=10096;End=10377;Strand=+	100	280	0	0	1	280	1	280	2.77e-147	518
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2382145;End=2383218;Strand=-	Seqid=LMGT_4071_10;Start=11649;End=12722;Strand=+	99.441	1074	6	0	1	1074	1	1074	0	1951
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2381526;End=2381966;Strand=-	Seqid=LMGT_4071_10;Start=12902;End=13342;Strand=+	96.825	441	14	0	1	441	1	441	0	737
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2380167;End=2381510;Strand=-	Seqid=LMGT_4071_10;Start=13359;End=14702;Strand=+	96.726	1344	44	0	1	1344	1	1344	0	2239
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2378676;End=2379188;Strand=-	Seqid=LMGT_4071_10;Start=15681;End=16193;Strand=+	98.635	513	7	0	1	513	1	513	0	909
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2377326;End=2378522;Strand=-	Seqid=LMGT_4071_10;Start=16347;End=17543;Strand=+	98.329	1197	20	0	1	1197	1	1197	0	2100
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2376904;End=2377311;Strand=-	Seqid=LMGT_4071_10;Start=17558;End=17965;Strand=+	98.015	403	8	0	1	403	1	403	0	701
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2375277;End=2376656;Strand=-	Seqid=LMGT_4071_10;Start=18213;End=19592;Strand=+	98.551	1380	20	0	1	1380	1	1380	0	2438
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2374291;End=2375238;Strand=-	Seqid=LMGT_4071_10;Start=19631;End=20578;Strand=+	98.418	948	15	0	1	948	1	948	0	1668
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2373235;End=2374275;Strand=-	Seqid=LMGT_4071_10;Start=20594;End=21634;Strand=+	99.424	1041	6	0	1	1041	1	1041	0	1890
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2371918;End=2373216;Strand=-	Seqid=LMGT_4071_10;Start=21653;End=22951;Strand=+	97.768	1299	29	0	1	1299	1	1299	0	2239
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2370276;End=2371640;Strand=-	Seqid=LMGT_4071_10;Start=23229;End=24593;Strand=+	99.341	1365	9	0	1	1365	1	1365	0	2471
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2368758;End=2369537;Strand=-	Seqid=LMGT_4071_10;Start=25223;End=25996;Strand=+	96.498	771	27	0	1	771	1	771	0	1275
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2361594;End=2361809;Strand=-	Seqid=LMGT_4071_10;Start=27976;End=28191;Strand=+	99.537	216	1	0	1	216	1	216	7.04e-111	394
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2360441;End=2361346;Strand=-	Seqid=LMGT_4071_10;Start=28439;End=29344;Strand=+	99.558	906	4	0	1	906	1	906	0	1652
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2356513;End=2359719;Strand=-	Seqid=LMGT_4071_10;Start=30066;End=33272;Strand=+	99.065	3207	30	0	1	3207	1	3207	0	5757
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2355622;End=2356227;Strand=-	Seqid=LMGT_4071_10;Start=33558;End=34163;Strand=+	97.199	607	15	2	1	606	1	606	0	1026
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2342989;End=2346192;Strand=-	Seqid=LMGT_4071_10;Start=40254;End=43457;Strand=+	96.572	3209	100	7	1	3204	1	3204	0	5308
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2341346;End=2341684;Strand=-	Seqid=LMGT_4071_10;Start=44760;End=45098;Strand=+	99.115	339	3	0	1	339	1	339	1.05e-175	610
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2340473;End=2341309;Strand=-	Seqid=LMGT_4071_10;Start=45136;End=45972;Strand=+	97.834	831	18	0	7	837	7	837	0	1435
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2337613;End=2338470;Strand=-	Seqid=LMGT_4071_10;Start=47975;End=48538;Strand=+	99.47	566	1	1	1	566	1	564	0	1027
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2337613;End=2338470;Strand=-	Seqid=LMGT_4071_10;Start=48570;End=48830;Strand=+	98.851	261	3	0	598	858	1	261	6.28e-132	466
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2337056;End=2337460;Strand=-	Seqid=LMGT_4071_10;Start=48983;End=49387;Strand=+	99.012	405	4	0	1	405	1	405	0	726
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2335330;End=2336361;Strand=-	Seqid=LMGT_4071_10;Start=50082;End=51113;Strand=+	98.45	1032	16	0	1	1032	1	1032	0	1818
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2334026;End=2335024;Strand=-	Seqid=LMGT_4071_10;Start=51419;End=52417;Strand=+	99.8	999	2	0	1	999	1	999	0	1834
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2333078;End=2334007;Strand=-	Seqid=LMGT_4071_10;Start=52436;End=53365;Strand=+	99.677	930	3	0	1	930	1	930	0	1701
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2326308;End=2327501;Strand=-	Seqid=LMGT_4071_10;Start=58940;End=60133;Strand=+	99.581	1194	5	0	1	1194	1	1194	0	2178
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2321283;End=2322482;Strand=-	Seqid=LMGT_4071_10;Start=63959;End=65158;Strand=+	99.083	1200	11	0	1	1200	1	1200	0	2156
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2317158;End=2318315;Strand=-	Seqid=LMGT_4071_10;Start=68126;End=69283;Strand=+	99.914	1158	1	0	1	1158	1	1158	0	2134
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2242449;End=2243633;Strand=-	Seqid=LMGT_4071_4;Start=111709;End=112893;Strand=-	100	1185	0	0	1	1185	1	1185	0	2189
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2242219;End=2242377;Strand=-	Seqid=LMGT_4071_4;Start=111479;End=111652;Strand=-	100	159	0	0	1	159	16	174	5.25e-81	294
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2235180;End=2235791;Strand=-	Seqid=LMGT_4071_4;Start=104454;End=105065;Strand=-	99.837	612	1	0	1	612	1	612	0	1125
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2232970;End=2235063;Strand=-	Seqid=LMGT_4071_4;Start=102244;End=104337;Strand=-	97.803	2094	46	0	1	2094	1	2094	0	3613
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2231031;End=2232605;Strand=-	Seqid=LMGT_4071_4;Start=100305;End=101879;Strand=-	99.492	1575	8	0	1	1575	1	1575	0	2865
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2229267;End=2230805;Strand=-	Seqid=LMGT_4071_4;Start=98541;End=100079;Strand=-	99.87	1539	2	0	1	1539	1	1539	0	2832
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2223958;End=2226774;Strand=-	Seqid=LMGT_4071_4;Start=93235;End=96048;Strand=-	98.257	2811	47	2	1	2810	1	2810	0	4918
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2222612;End=2223142;Strand=-	Seqid=LMGT_4071_4;Start=91885;End=92415;Strand=-	99.247	531	4	0	1	531	1	531	0	959
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2221126;End=2221701;Strand=-	Seqid=LMGT_4071_4;Start=90400;End=90975;Strand=-	97.049	576	17	0	1	576	1	576	0	970
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2220476;End=2220940;Strand=-	Seqid=LMGT_4071_4;Start=89749;End=90213;Strand=-	98.065	465	9	0	1	465	1	465	0	809
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2218883;End=2220118;Strand=-	Seqid=LMGT_4071_4;Start=88157;End=89392;Strand=-	95.955	1236	50	0	1	1236	1	1236	0	2006
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2217284;End=2218714;Strand=-	Seqid=LMGT_4071_4;Start=86558;End=87988;Strand=-	99.161	1431	12	0	1	1431	1	1431	0	2577
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2216566;End=2217249;Strand=-	Seqid=LMGT_4071_4;Start=85840;End=86523;Strand=-	97.804	683	15	0	1	683	1	683	0	1179
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2215611;End=2216372;Strand=-	Seqid=LMGT_4071_4;Start=84884;End=85645;Strand=-	96.982	762	23	0	1	762	1	762	0	1280
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2214322;End=2215317;Strand=-	Seqid=LMGT_4071_4;Start=83595;End=84590;Strand=-	98.996	996	10	0	1	996	1	996	0	1784
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2213313;End=2214161;Strand=-	Seqid=LMGT_4071_4;Start=82586;End=83029;Strand=-	98.874	444	5	0	406	849	1	444	0	793
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2213313;End=2214161;Strand=-	Seqid=LMGT_4071_4;Start=83054;End=83434;Strand=-	98.677	378	5	0	1	378	1	378	0	671
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2210401;End=2211543;Strand=-	Seqid=LMGT_4071_4;Start=79674;End=80816;Strand=-	93.164	1141	78	0	1	1141	1	1141	0	1676
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2208097;End=2208546;Strand=-	Seqid=LMGT_4071_4;Start=77370;End=77819;Strand=-	98.667	450	6	0	1	450	1	450	0	798
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2204418;End=2205185;Strand=-	Seqid=LMGT_4071_4;Start=73702;End=74469;Strand=-	83.506	770	123	4	1	768	1	768	0	715
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2202590;End=2204389;Strand=-	Seqid=LMGT_4071_4;Start=71874;End=73673;Strand=-	91.116	1801	158	2	1	1800	1	1800	0	2438
