Assembly Name	Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	Annotation Count Gene Total	Annotation Count Gene Protein-coding
ASM107187v1	GCF_001071875.1	Staphylococcus haemolyticus		235_SHAE				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2484273	Contig	2015-07-10	2469	2371
ASM107209v1	GCF_001072095.1	Staphylococcus haemolyticus		285_SHAE				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2525060	Scaffold	2015-07-10	2531	2397
7068_7#10	GCF_001223605.1	Staphylococcus haemolyticus		6035				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2523744	Scaffold	2015-08-03	2542	2410
7067_4#88	GCF_001223905.1	Staphylococcus haemolyticus		CN1175				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2528540	Contig	2015-08-03	2538	2400
7067_4#82	GCF_001223985.1	Staphylococcus haemolyticus		278-10				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2488619	Contig	2015-08-03	2481	2362
7067_4#76	GCF_001224145.1	Staphylococcus haemolyticus		6_13				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2415244	Scaffold	2015-08-03	2404	2275
7067_4#51	GCF_001224245.1	Staphylococcus haemolyticus		51-26				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2609359	Scaffold	2015-08-03	2630	2498
7068_7#52	GCF_001224425.1	Staphylococcus haemolyticus		103709				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2506165	Contig	2015-08-03	2518	2385
7068_7#6	GCF_001224545.1	Staphylococcus haemolyticus		625				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2525382	Contig	2015-08-03	2544	2421
7068_7#35	GCF_001224745.1	Staphylococcus haemolyticus		131776				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2539072	Scaffold	2015-08-03	2539	2395
7068_7#62	GCF_001225225.1	Staphylococcus haemolyticus		115601				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2448034	Contig	2015-08-03	2453	2308
7068_7#5	GCF_001225245.1	Staphylococcus haemolyticus		6660				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2493827	Contig	2015-08-03	2505	2371
7067_4#44	GCF_001225445.1	Staphylococcus haemolyticus		51-16				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2541042	Scaffold	2015-08-03	2568	2432
7068_7#29	GCF_001225485.1	Staphylococcus haemolyticus		92271				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2626030	Contig	2015-08-03	2636	2477
7067_4#78	GCF_001225665.1	Staphylococcus haemolyticus		AB				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2481381	Scaffold	2015-08-03	2481	2339
7068_7#60	GCF_001225905.1	Staphylococcus haemolyticus		140376				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2372839	Contig	2015-08-03	2370	2194
7068_7#16	GCF_001225985.1	Staphylococcus haemolyticus		F033				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2475621	Contig	2015-08-03	2478	2341
7067_4#26	GCF_001226105.1	Staphylococcus haemolyticus		25-29				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2471527	Scaffold	2015-08-03	2491	2354
7067_4#80	GCF_001226285.1	Staphylococcus haemolyticus		JCSC_1435				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2555255	Contig	2015-08-03	2581	2446
7068_7#48	GCF_001226325.1	Staphylococcus haemolyticus		114126				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2518137	Contig	2015-08-03	2539	2406
7068_7#19	GCF_001226405.1	Staphylococcus haemolyticus		T_621				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2621216	Contig	2015-08-03	2661	2520
7067_4#38	GCF_001226705.1	Staphylococcus haemolyticus		51-07				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2522687	Scaffold	2015-08-03	2556	2424
7067_4#48	GCF_001226765.1	Staphylococcus haemolyticus		51-21				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2583329	Contig	2015-08-03	2600	2449
7068_7#43	GCF_001226805.1	Staphylococcus haemolyticus		121875				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2537417	Scaffold	2015-08-03	2559	2425
7068_7#63	GCF_001227045.1	Staphylococcus haemolyticus		127639				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2513924	Scaffold	2015-08-03	2511	2349
7067_4#91	GCF_001227205.1	Staphylococcus haemolyticus		95671				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2476442	Contig	2015-08-03	2489	2357
7067_4#58	GCF_001227225.1	Staphylococcus haemolyticus		51-34				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2511238	Contig	2015-08-03	2510	2372
7067_4#33	GCF_001227365.1	Staphylococcus haemolyticus		26-24				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2464983	Contig	2015-08-03	2483	2342
7068_7#20	GCF_001227385.1	Staphylococcus haemolyticus		T_480				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2492973	Scaffold	2015-08-03	2488	2362
7067_4#25	GCF_001227585.1	Staphylococcus haemolyticus		25-12				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2448492	Scaffold	2015-08-03	2456	2318
7067_4#65	GCF_001227625.1	Staphylococcus haemolyticus		51-44				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2453839	Contig	2015-08-03	2439	2316
7067_4#62	GCF_001227705.1	Staphylococcus haemolyticus		51-41				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2550395	Contig	2015-08-03	2543	2421
7067_4#47	GCF_001227745.1	Staphylococcus haemolyticus		51-20				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2492833	Contig	2015-08-03	2484	2350
7067_4#30	GCF_001228105.1	Staphylococcus haemolyticus		25-59				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2475848	Contig	2015-08-03	2499	2358
7068_7#30	GCF_001228185.1	Staphylococcus haemolyticus		135665				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2372829	Contig	2015-08-03	2348	2223
7068_7#36	GCF_001228285.1	Staphylococcus haemolyticus		127925				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2545880	Contig	2015-08-03	2591	2452
7067_4#66	GCF_001228325.1	Staphylococcus haemolyticus		51-45				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2463453	Contig	2015-08-03	2443	2304
7067_4#60	GCF_001228405.1	Staphylococcus haemolyticus		51-37				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2332821	Scaffold	2015-08-03	2326	2167
7067_4#45	GCF_001228465.1	Staphylococcus haemolyticus		51-17				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2858149	Scaffold	2015-08-03	3021	2725
7068_7#21	GCF_001228845.1	Staphylococcus haemolyticus		W59				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2454272	Contig	2015-08-03	2449	2263
7068_7#65	GCF_001229105.1	Staphylococcus haemolyticus		105731				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2436514	Contig	2015-08-03	2429	2298
7067_4#52	GCF_001229125.1	Staphylococcus haemolyticus		51-27				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2398588	Scaffold	2015-08-03	2397	2260
7068_7#38	GCF_001229185.1	Staphylococcus haemolyticus		113101				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2511345	Scaffold	2015-08-03	2524	2394
7068_7#9	GCF_001229605.1	Staphylococcus haemolyticus		643				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2901728	Scaffold	2015-08-03	3082	2725
7068_7#32	GCF_001229765.1	Staphylococcus haemolyticus		115472				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2443261	Scaffold	2015-08-03	2455	2311
7068_7#58	GCF_001229785.1	Staphylococcus haemolyticus		112056				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2500665	Contig	2015-08-03	2495	2365
7067_4#29	GCF_001229885.1	Staphylococcus haemolyticus		25-57				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2466544	Contig	2015-08-03	2480	2341
7067_4#50	GCF_001230025.1	Staphylococcus haemolyticus		51-24				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2524683	Contig	2015-08-03	2537	2401
7068_7#64	GCF_001230145.1	Staphylococcus haemolyticus		137133				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2452281	Contig	2015-08-03	2444	2312
7068_7#1	GCF_001230305.1	Staphylococcus haemolyticus		CN1219				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2501226	Scaffold	2015-08-03	2519	2382
7067_4#39	GCF_001230445.1	Staphylococcus haemolyticus		51-08				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2509985	Contig	2015-08-03	2510	2373
7067_4#75	GCF_001230625.1	Staphylococcus haemolyticus		8-9				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2443104	Scaffold	2015-08-03	2419	2286
7068_7#28	GCF_001230645.1	Staphylococcus haemolyticus		109919				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2522156	Contig	2015-08-03	2514	2372
7067_4#86	GCF_001230845.1	Staphylococcus haemolyticus		CN1138				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2414354	Contig	2015-08-03	2401	2260
7068_7#49	GCF_001231025.1	Staphylococcus haemolyticus		124304				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2545211	Scaffold	2015-08-03	2562	2423
7067_4#35	GCF_001231125.1	Staphylococcus haemolyticus		51-03				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2781243	Scaffold	2015-08-03	2959	2665
7068_7#14	GCF_001231145.1	Staphylococcus haemolyticus		F06				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2496681	Contig	2015-08-03	2496	2367
7067_4#57	GCF_001231265.1	Staphylococcus haemolyticus		51-33				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2553435	Scaffold	2015-08-03	2584	2444
7068_7#55	GCF_001231545.1	Staphylococcus haemolyticus		104658				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2624963	Contig	2015-08-03	2630	2474
7068_7#23	GCF_001231725.1	Staphylococcus haemolyticus		W_75				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2489375	Contig	2015-08-03	2479	2325
7068_7#57	GCF_001231825.1	Staphylococcus haemolyticus		94759				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2389735	Contig	2015-08-03	2369	2242
7068_7#37	GCF_001231885.1	Staphylococcus haemolyticus		124655				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2400363	Contig	2015-08-03	2386	2269
7068_7#22	GCF_001232065.1	Staphylococcus haemolyticus		W114				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2611493	Contig	2015-08-03	2613	2463
7067_4#40	GCF_001232245.1	Staphylococcus haemolyticus		51-09				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2581015	Scaffold	2015-08-03	2609	2458
7067_4#87	GCF_001232285.1	Staphylococcus haemolyticus		CN1167				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2501435	Contig	2015-08-03	2502	2364
7067_4#61	GCF_001232605.1	Staphylococcus haemolyticus		51-39				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2509133	Contig	2015-08-03	2505	2372
7068_7#61	GCF_001232645.1	Staphylococcus haemolyticus		135073				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2473547	Scaffold	2015-08-03	2499	2367
7067_4#74	GCF_001232865.1	Staphylococcus haemolyticus		51-55				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2433323	Contig	2015-08-03	2417	2300
7067_4#73	GCF_001233165.1	Staphylococcus haemolyticus		51-72				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2453384	Scaffold	2015-08-03	2433	2308
7068_7#47	GCF_001233205.1	Staphylococcus haemolyticus		131974				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2389717	Contig	2015-08-03	2369	2251
7068_7#66	GCF_001233265.1	Staphylococcus haemolyticus		89727				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2493964	Contig	2015-08-03	2486	2351
7067_4#72	GCF_001233365.1	Staphylococcus haemolyticus		51-52				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2517053	Contig	2015-08-03	2524	2393
7068_7#31	GCF_001233505.1	Staphylococcus haemolyticus		102938				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2608526	Scaffold	2015-08-03	2636	2499
7067_4#89	GCF_001233565.1	Staphylococcus haemolyticus		CN1197				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2331387	Contig	2015-08-03	2298	2181
7068_7#26	GCF_001233845.1	Staphylococcus haemolyticus		115609				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2441757	Contig	2015-08-03	2437	2299
7068_7#12	GCF_001233865.1	Staphylococcus haemolyticus		708075				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2521284	Contig	2015-08-03	2519	2372
7068_7#51	GCF_001234045.1	Staphylococcus haemolyticus		136731				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2477266	Scaffold	2015-08-03	2535	2362
7068_7#42	GCF_001234185.1	Staphylococcus haemolyticus		109939				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2510727	Contig	2015-08-03	2525	2397
7067_4#34	GCF_001234205.1	Staphylococcus haemolyticus		26-4				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2392688	Contig	2015-08-03	2368	2239
7068_7#8	GCF_001234345.1	Staphylococcus haemolyticus		2111				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2556034	Contig	2015-08-03	2577	2444
7067_4#37	GCF_001234405.1	Staphylococcus haemolyticus		51-06				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2522645	Contig	2015-08-03	2535	2402
7067_4#27	GCF_001234445.1	Staphylococcus haemolyticus		25-38				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2438987	Contig	2015-08-03	2434	2299
7068_7#2	GCF_001234485.1	Staphylococcus haemolyticus		CN1234				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2587630	Scaffold	2015-08-03	2633	2483
7068_7#33	GCF_001234545.1	Staphylococcus haemolyticus		133319				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2457248	Contig	2015-08-03	2433	2308
7068_7#17	GCF_001234585.1	Staphylococcus haemolyticus		F01				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2511636	Scaffold	2015-08-03	2494	2361
7068_7#53	GCF_001235085.1	Staphylococcus haemolyticus		132337				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2545280	Scaffold	2015-08-03	2557	2411
7068_7#18	GCF_001235105.1	Staphylococcus haemolyticus		F0_34				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2530510	Scaffold	2015-08-03	2542	2397
7068_7#41	GCF_001235305.1	Staphylococcus haemolyticus		137772				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2492753	Contig	2015-08-03	2517	2383
7068_7#54	GCF_001235325.1	Staphylococcus haemolyticus		123477				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2497851	Scaffold	2015-08-03	2517	2385
7067_4#56	GCF_001235405.1	Staphylococcus haemolyticus		51-32				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2472150	Contig	2015-08-03	2460	2331
7068_7#25	GCF_001235445.1	Staphylococcus haemolyticus		21116				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2594641	Scaffold	2015-08-03	2615	2467
7068_7#67	GCF_001235545.1	Staphylococcus haemolyticus		131062				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2496494	Contig	2015-08-03	2502	2367
7068_7#15	GCF_001235645.1	Staphylococcus haemolyticus		F045				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2586401	Scaffold	2015-08-03	2577	2434
7067_4#43	GCF_001235665.1	Staphylococcus haemolyticus		51-13				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2568124	Scaffold	2015-08-03	2597	2444
7068_7#44	GCF_001235685.1	Staphylococcus haemolyticus		112622				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2463548	Contig	2015-08-03	2475	2354
7068_7#40	GCF_001235705.1	Staphylococcus haemolyticus		113952				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2514173	Scaffold	2015-08-03	2517	2368
7067_4#85	GCF_001235745.1	Staphylococcus haemolyticus		CN1134				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2551848	Contig	2015-08-03	2579	2436
7067_4#63	GCF_001235805.1	Staphylococcus haemolyticus		51-42				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2606425	Contig	2015-08-03	2627	2489
7067_4#68	GCF_001235945.1	Staphylococcus haemolyticus		51-47				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2444138	Scaffold	2015-08-03	2426	2279
7068_7#39	GCF_001236145.1	Staphylococcus haemolyticus		123268				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2508540	Scaffold	2015-08-03	2537	2400
7067_4#31	GCF_001236245.1	Staphylococcus haemolyticus		25-60				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2508661	Scaffold	2015-08-03	2519	2381
7067_4#49	GCF_001236365.1	Staphylococcus haemolyticus		51-22				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2497304	Contig	2015-08-03	2514	2388
7067_4#71	GCF_001236425.1	Staphylococcus haemolyticus		51-51				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2511740	Contig	2015-08-03	2529	2407
7068_7#34	GCF_001236685.1	Staphylococcus haemolyticus		114564				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2441747	Scaffold	2015-08-03	2449	2308
7067_4#83	GCF_001237065.1	Staphylococcus haemolyticus		CN1011				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2658158	Contig	2015-08-03	2717	2583
7068_7#7	GCF_001237105.1	Staphylococcus haemolyticus		7532				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2513933	Contig	2015-08-03	2536	2402
7068_7#50	GCF_001237185.1	Staphylococcus haemolyticus		134634				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2393643	Scaffold	2015-08-03	2402	2247
7067_4#90	GCF_001237405.1	Staphylococcus haemolyticus		51-15				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2940506	Scaffold	2015-08-03	3105	2685
7068_7#4	GCF_001237425.1	Staphylococcus haemolyticus		6682				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2540449	Contig	2015-08-03	2561	2423
7067_4#81	GCF_001237485.1	Staphylococcus haemolyticus		M-176				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2537701	Contig	2015-08-03	2536	2407
7068_7#46	GCF_001237665.1	Staphylococcus haemolyticus		144377				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2562018	Scaffold	2015-08-03	2567	2434
7067_4#54	GCF_001237685.1	Staphylococcus haemolyticus		51-30				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2399191	Contig	2015-08-03	2367	2241
7067_4#36	GCF_001237705.1	Staphylococcus haemolyticus		51-04				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2512845	Scaffold	2015-08-03	2521	2394
7068_7#45	GCF_001237725.1	Staphylococcus haemolyticus		104626				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2717452	Scaffold	2015-08-03	2781	2570
7068_7#11	GCF_001238045.1	Staphylococcus haemolyticus		6249				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2512190	Scaffold	2015-08-03	2537	2410
7067_4#77	GCF_001238085.1	Staphylococcus haemolyticus		s5				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2503878	Scaffold	2015-08-03	2502	2356
7067_4#55	GCF_001238205.1	Staphylococcus haemolyticus		51-31				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2480954	Scaffold	2015-08-03	2483	2335
7067_4#28	GCF_001238305.1	Staphylococcus haemolyticus		25-44				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2673652	Contig	2015-08-03	2714	2566
7067_4#59	GCF_001238425.1	Staphylococcus haemolyticus		51-35				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2724068	Scaffold	2015-08-03	2779	2599
7067_4#67	GCF_001238515.1	Staphylococcus haemolyticus		51-46				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2518342	Contig	2015-08-03	2504	2368
7068_7#59	GCF_001238665.1	Staphylococcus haemolyticus		97208				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2446877	Contig	2015-08-03	2427	2298
7067_4#32	GCF_001238745.1	Staphylococcus haemolyticus		25-63				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2481297	Contig	2015-08-03	2506	2360
7067_4#53	GCF_001238865.1	Staphylococcus haemolyticus		51-29				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2507350	Scaffold	2015-08-03	2525	2388
7068_7#13	GCF_001238905.1	Staphylococcus haemolyticus		8074328				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2583877	Contig	2015-08-03	2600	2462
7067_4#79	GCF_001239225.1	Staphylococcus haemolyticus		2263-3461				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2458332	Scaffold	2015-08-03	2413	2277
7067_4#41	GCF_001239425.1	Staphylococcus haemolyticus		51-10				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2510843	Scaffold	2015-08-03	2523	2396
7067_4#84	GCF_001239505.1	Staphylococcus haemolyticus		CN1115				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2521015	Contig	2015-08-03	2544	2404
7068_7#56	GCF_001239565.1	Staphylococcus haemolyticus		135814				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2518645	Contig	2015-08-03	2529	2394
7067_4#64	GCF_001239605.1	Staphylococcus haemolyticus		51-43				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2608869	Contig	2015-08-03	2610	2479
7068_7#24	GCF_001239625.1	Staphylococcus haemolyticus		W_139				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2479364	Scaffold	2015-08-03	2486	2332
7068_7#3	GCF_001239725.1	Staphylococcus haemolyticus		7589				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2538007	Scaffold	2015-08-03	2553	2405
ASM141246v1	GCF_001412465.1	Staphylococcus haemolyticus		MTCC 3383				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2472482	Contig	2015-10-26	2491	2360
ASM147151v2	GCF_001471515.2	Staphylococcus haemolyticus		FDAARGOS_130				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2695523	Contig	2018-01-19	2646	2461
ASM152937v1	GCF_001529375.1	Staphylococcus haemolyticus		SHN36				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2363384	Contig	2016-01-22	2362	2252
ASM152939v1	GCF_001529395.1	Staphylococcus haemolyticus		SHN65				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2334876	Contig	2016-01-22	2345	2224
ASM152942v1	GCF_001529425.1	Staphylococcus haemolyticus		SH1752				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2695474	Contig	2016-01-22	2926	2640
ASM152944v1	GCF_001529445.1	Staphylococcus haemolyticus		SH1574				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2384660	Contig	2016-01-22	2402	2283
ASM152946v1	GCF_001529465.1	Staphylococcus haemolyticus		SH747				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2412553	Contig	2016-01-22	2470	2336
ASM170508v1	GCF_001705085.1	Staphylococcus haemolyticus		421				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2447072	Contig	2016-08-15	2488	2248
ASM170515v1	GCF_001705155.1	Staphylococcus haemolyticus		527				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2478254	Contig	2016-08-15	2534	2298
ASM174342v1	GCF_001743425.1	Staphylococcus haemolyticus		IIF2SW-P5				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2674119	Contig	2016-09-24	2957	2555
ASM175668v1	GCF_001756685.1	Staphylococcus haemolyticus		VB31546				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2520902	Contig	2016-10-11	2556	2374
ASM196986v1	GCF_001969865.1	Staphylococcus haemolyticus		BC05211				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2484518	Scaffold	2017-01-23	2467	2304
ASM196987v1	GCF_001969875.1	Staphylococcus haemolyticus		NW19				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2436925	Scaffold	2017-01-23	2365	2278
ASM197585v1	GCF_001975855.1	Staphylococcus haemolyticus		SW007				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2334100	Contig	2017-01-31	2349	2165
ASM211427v1	GCF_002114275.1	Staphylococcus haemolyticus		IPK_TSA25				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2517398	Contig	2017-04-28	2453	2286
ASM216543v1	GCF_002165435.1	Staphylococcus haemolyticus		SH06				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2501418	Contig	2017-06-02	2407	2286
